pid,power
90076,90.9
77139,76.5
36163,44.2
414,31.9
2154,25.1
73780,20.6
424,16.2
7492,15.5
5563,14.2
97274,11.8
1,9.1
91809,8.9
704,8.7
92720,5.1
345,3.5
57386,2.9
769,2.2
32595,1.8
585,1.8
46202,1.7
91164,1.6
1215,1.6
370,1.6
341,1.6
599,1.4
92289,1.2
91212,1.1
68569,1.0
93268,0.8
731,0.5
67832,0.5
67830,0.4
30360,0.4
91183,0.4
954,0.4
736,0.3
703,0.3
381,0.2
468,0.1
407,0.1
343,0.1
648,0.1
526,0.0
884,0.0
617,0.0
416,0.0
5816,0.0
465,0.0
9512,0.0
87543,0.0
409,0.0
355,0.0
680,0.0
91202,0.0
406,0.0
23879,0.0
1007,0.0
91810,0.0
667,0.0
737,0.0
630,0.0
35974,0.0
735,0.0
373,0.0
535,0.0
76736,0.0
89804,0.0
709,0.0
511,0.0
655,0.0
632,0.0
383,0.0
651,0.0
696,0.0
38826,0.0
626,0.0
938,0.0
792,0.0
795,0.0
2447,0.0
670,0.0
353,0.0
51893,0.0
778,0.0
380,0.0
1189,0.0
389,0.0
384,0.0
763,0.0
379,0.0
664,0.0
98300,0.0
723,0.0
857,0.0
418,0.0
4941,0.0
91477,0.0
551,0.0
91511,0.0
654,0.0
943,0.0
747,0.0
711,0.0
85634,0.0
23460,0.0
638,0.0
91499,0.0
629,0.0
951,0.0
91527,0.0
437,0.0
23838,0.0
848,0.0
712,0.0
553,0.0
99988,0.0
98093,0.0
98011,0.0
97944,0.0
97942,0.0
97863,0.0
97802,0.0
97751,0.0
97732,0.0
97659,0.0
97653,0.0
97502,0.0
96933,0.0
96929,0.0
93750,0.0
93651,0.0
93291,0.0
93226,0.0
93207,0.0
92958,0.0
92288,0.0
92022,0.0
92021,0.0
91976,0.0
91806,0.0
91518,0.0
91513,0.0
91510,0.0
91509,0.0
91493,0.0
91492,0.0
91491,0.0
91484,0.0
91480,0.0
91475,0.0
91205,0.0
91204,0.0
91185,0.0
91181,0.0
90322,0.0
90217,0.0
89776,0.0
89775,0.0
89774,0.0
89770,0.0
88135,0.0
87810,0.0
87542,0.0
87531,0.0
87530,0.0
87396,0.0
86826,0.0
86703,0.0
86547,0.0
86502,0.0
86498,0.0
86284,0.0
85779,0.0
85773,0.0
85633,0.0
85541,0.0
85468,0.0
85411,0.0
85357,0.0
85349,0.0
85277,0.0
84807,0.0
84800,0.0
84541,0.0
84530,0.0
84528,0.0
84477,0.0
84475,0.0
84468,0.0
84459,0.0
84458,0.0
84454,0.0
84423,0.0
84362,0.0
84355,0.0
84340,0.0
83439,0.0
82981,0.0
82980,0.0
82874,0.0
82464,0.0
82456,0.0
77251,0.0
76724,0.0
76721,0.0
76578,0.0
73844,0.0
73841,0.0
67903,0.0
67898,0.0
66917,0.0
63004,0.0
60724,0.0
60678,0.0
59869,0.0
58724,0.0
58709,0.0
56968,0.0
54635,0.0
54631,0.0
54627,0.0
54624,0.0
54399,0.0
53115,0.0
52247,0.0
50502,0.0
50488,0.0
48797,0.0
48783,0.0
40013,0.0
38978,0.0
38878,0.0
38859,0.0
38849,0.0
36825,0.0
35881,0.0
32518,0.0
31162,0.0
29624,0.0
24829,0.0
24556,0.0
24550,0.0
24549,0.0
24547,0.0
24541,0.0
24530,0.0
24478,0.0
23965,0.0
23932,0.0
23914,0.0
23913,0.0
23912,0.0
23910,0.0
23907,0.0
23890,0.0
23885,0.0
23884,0.0
23881,0.0
23877,0.0
23868,0.0
23837,0.0
23800,0.0
23788,0.0
22706,0.0
22705,0.0
22702,0.0
22014,0.0
22013,0.0
22002,0.0
20020,0.0
19229,0.0
19029,0.0
18921,0.0
18914,0.0
18518,0.0
18509,0.0
17614,0.0
17369,0.0
16814,0.0
14342,0.0
11462,0.0
10231,0.0
10212,0.0
10167,0.0
10147,0.0
8729,0.0
8727,0.0
8084,0.0
8065,0.0
8023,0.0
8003,0.0
6994,0.0
6870,0.0
6534,0.0
6515,0.0
6369,0.0
6348,0.0
6323,0.0
6321,0.0
5364,0.0
5361,0.0
4911,0.0
4899,0.0
4889,0.0
4870,0.0
3864,0.0
3280,0.0
3224,0.0
3147,0.0
3145,0.0
3144,0.0
3143,0.0
3142,0.0
3141,0.0
3140,0.0
3139,0.0
3055,0.0
3049,0.0
3041,0.0
3035,0.0
2826,0.0
2813,0.0
2219,0.0
1292,0.0
1289,0.0
1286,0.0
1285,0.0
1265,0.0
1264,0.0
1255,0.0
1251,0.0
1240,0.0
1229,0.0
1227,0.0
1223,0.0
1222,0.0
1218,0.0
1212,0.0
1210,0.0
1209,0.0
1206,0.0
1164,0.0
1160,0.0
1159,0.0
1158,0.0
1143,0.0
1142,0.0
1140,0.0
1136,0.0
1132,0.0
1125,0.0
1106,0.0
1101,0.0
1072,0.0
1070,0.0
1061,0.0
1058,0.0
1040,0.0
1039,0.0
1035,0.0
1033,0.0
1031,0.0
1017,0.0
1014,0.0
1003,0.0
1001,0.0
978,0.0
935,0.0
929,0.0
925,0.0
923,0.0
922,0.0
921,0.0
920,0.0
919,0.0
918,0.0
915,0.0
913,0.0
912,0.0
910,0.0
903,0.0
902,0.0
890,0.0
889,0.0
883,0.0
879,0.0
878,0.0
876,0.0
870,0.0
868,0.0
866,0.0
862,0.0
858,0.0
855,0.0
847,0.0
846,0.0
844,0.0
843,0.0
841,0.0
837,0.0
835,0.0
832,0.0
818,0.0
816,0.0
815,0.0
808,0.0
804,0.0
801,0.0
786,0.0
785,0.0
773,0.0
764,0.0
761,0.0
755,0.0
754,0.0
750,0.0
748,0.0
743,0.0
742,0.0
741,0.0
740,0.0
733,0.0
732,0.0
729,0.0
722,0.0
721,0.0
720,0.0
716,0.0
715,0.0
714,0.0
694,0.0
693,0.0
689,0.0
688,0.0
685,0.0
683,0.0
678,0.0
673,0.0
672,0.0
660,0.0
659,0.0
658,0.0
657,0.0
656,0.0
652,0.0
650,0.0
647,0.0
644,0.0
643,0.0
642,0.0
641,0.0
640,0.0
639,0.0
628,0.0
624,0.0
618,0.0
614,0.0
612,0.0
608,0.0
597,0.0
595,0.0
593,0.0
584,0.0
582,0.0
581,0.0
580,0.0
571,0.0
567,0.0
561,0.0
556,0.0
554,0.0
552,0.0
546,0.0
545,0.0
541,0.0
536,0.0
529,0.0
524,0.0
522,0.0
521,0.0
490,0.0
484,0.0
467,0.0
462,0.0
454,0.0
452,0.0
447,0.0
440,0.0
436,0.0
433,0.0
430,0.0
429,0.0
428,0.0
425,0.0
421,0.0
