pid,power
33526,99.0
414,33.8
2447,30.1
36163,29.7
2154,24.6
15384,21.0
5563,18.4
424,15.5
98300,13.6
9512,10.1
704,9.6
34387,8.3
418,7.7
68569,7.1
92720,5.7
97274,5.3
345,4.0
1,3.6
57386,3.1
32595,1.9
1215,1.8
769,1.8
599,1.8
370,1.7
46202,1.6
585,1.4
341,1.4
92289,1.1
25682,0.8
736,0.7
91164,0.7
67832,0.6
511,0.6
731,0.6
67830,0.5
91212,0.4
355,0.3
954,0.3
465,0.3
703,0.3
433,0.3
416,0.2
343,0.2
667,0.2
93268,0.2
91183,0.1
526,0.1
407,0.1
381,0.1
680,0.1
648,0.1
409,0.0
349,0.0
389,0.0
1007,0.0
34388,0.0
792,0.0
654,0.0
747,0.0
664,0.0
32931,0.0
28493,0.0
468,0.0
630,0.0
7492,0.0
748,0.0
678,0.0
689,0.0
5816,0.0
89174,0.0
35974,0.0
86357,0.0
535,0.0
903,0.0
3035,0.0
1210,0.0
23879,0.0
429,0.0
380,0.0
638,0.0
626,0.0
384,0.0
353,0.0
373,0.0
406,0.0
386,0.0
696,0.0
383,0.0
913,0.0
379,0.0
91205,0.0
551,0.0
91204,0.0
1189,0.0
709,0.0
91185,0.0
51893,0.0
82980,0.0
659,0.0
24665,0.0
14342,0.0
693,0.0
723,0.0
884,0.0
30360,0.0
714,0.0
711,0.0
92951,0.0
712,0.0
553,0.0
99988,0.0
98093,0.0
98011,0.0
97944,0.0
97942,0.0
97863,0.0
97802,0.0
97751,0.0
97732,0.0
97659,0.0
97653,0.0
97502,0.0
96933,0.0
96929,0.0
93750,0.0
93651,0.0
93291,0.0
93226,0.0
93207,0.0
92958,0.0
92288,0.0
92022,0.0
92021,0.0
91202,0.0
91181,0.0
90322,0.0
90217,0.0
88135,0.0
87543,0.0
87542,0.0
87531,0.0
87530,0.0
87396,0.0
87269,0.0
87147,0.0
87081,0.0
87027,0.0
86968,0.0
86962,0.0
86895,0.0
86832,0.0
86826,0.0
86812,0.0
86801,0.0
86796,0.0
86759,0.0
86703,0.0
86634,0.0
86627,0.0
86547,0.0
86502,0.0
86498,0.0
86419,0.0
86374,0.0
86373,0.0
86367,0.0
86356,0.0
85890,0.0
85883,0.0
85880,0.0
85779,0.0
85773,0.0
84362,0.0
83439,0.0
82981,0.0
82464,0.0
82462,0.0
82456,0.0
80870,0.0
80856,0.0
77251,0.0
76592,0.0
76578,0.0
73844,0.0
73841,0.0
71624,0.0
67903,0.0
67898,0.0
66917,0.0
63004,0.0
60724,0.0
60678,0.0
60041,0.0
60039,0.0
60010,0.0
59869,0.0
59816,0.0
58709,0.0
56968,0.0
54635,0.0
54631,0.0
54627,0.0
54624,0.0
54399,0.0
53115,0.0
52247,0.0
50502,0.0
50488,0.0
36825,0.0
35881,0.0
34385,0.0
32866,0.0
32865,0.0
32864,0.0
32849,0.0
32518,0.0
31162,0.0
29624,0.0
25679,0.0
24829,0.0
24564,0.0
24557,0.0
24556,0.0
24555,0.0
24554,0.0
24552,0.0
24551,0.0
24550,0.0
24549,0.0
24547,0.0
24541,0.0
24536,0.0
24533,0.0
24530,0.0
24478,0.0
23985,0.0
23965,0.0
23950,0.0
23949,0.0
23939,0.0
23932,0.0
23928,0.0
23923,0.0
23922,0.0
23918,0.0
23914,0.0
23913,0.0
